url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,water_softener,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,availability,wash_room,parking_places_indoor,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,diningrooms,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,vat,maintenance_cost,property_subtype,postal_code,locality,property_type
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25737,vbc25737,270000.0,2.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,10.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,3.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7390/quaregnon/vbc27133,vbc27133,120000.0,,62.0,Normal,,,0.0,0.0,,,2005.0,,1.0,,,,,,,Gas,,0.0,0.0,,,,,,,1.0,,,194.0,36.0,,,,,(information not available),(information not available),,,,,,0.0,,,,1.0,1.0,0.0,,3.0,,,,,,,,,,No,,apartment,7390,quaregnon,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25746,vbc25746,335000.0,3.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,11.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,2.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25736,vbc25736,255000.0,2.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,10.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,1.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/4730/hauset/vbd21167,vbd21167,312397.0,1.0,68.0,,,,1.0,1.0,,,2025.0,,,,,,1.0,,,Not specified,,,,,,,,,,,,,,,,,,,(information not available),(information not available),,,,,,0.0,,,,,,,,,,,,,,,,,,No,,apartment,4730,hauset,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7380/quievrain/vbc48490,vbc48490,150000.0,2.0,89.0,Normal,2.0,0.0,0.0,0.0,0.0,Super equipped,2011.0,,,,,,1.0,,,Gas,,,,,,,,,,1.0,1.0,,340.0,,"yes, certificate in accordance",,,,no flooding area,(information not available),,,On contract,,,,,,Double glass,1.0,1.0,,0.0,3.0,,3.0,1.0,,,,,,,No,,apartment,7380,quievrain,Apartment
https://immovlan.be/en/detail/apartment/for-sale/4730/hauset/vbd21169,vbd21169,458678.0,2.0,112.0,,,,1.0,0.0,,,2025.0,,1.0,,,,1.0,,,Not specified,,,,,,,,,,,,,,,,,,,(information not available),(information not available),,,,,,0.0,,,,,,,,,,,,,,,,,,No,,apartment,4730,hauset,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7380/quievrain/vbc48489,vbc48489,130000.0,1.0,85.0,Normal,2.0,0.0,1.0,0.0,0.0,Super equipped,2011.0,,,,,,1.0,,,Gas,,,,,,,,,,,,,161.0,,"yes, certificate in accordance",,,,no flooding area,(information not available),,,On contract,,,1.0,,,,1.0,1.0,,0.0,2.0,,3.0,1.0,,,,,,,No,,apartment,7380,quievrain,Apartment
https://immovlan.be/en/detail/penthouse/for-sale/4730/hauset/vbd21164,vbd21164,404132.0,2.0,94.0,,,,1.0,0.0,,,2025.0,,1.0,,,,2.0,,,Not specified,,,,,,,,,,,,,,,,,,,(information not available),(information not available),,,,,,0.0,,,,,,,,,,,,,,,,,,No,,penthouse,4730,hauset,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25741,vbc25741,285000.0,2.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,10.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,1.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/4730/hauset/vbd21166,vbd21166,312397.0,1.0,68.0,,,,1.0,1.0,,,2025.0,,1.0,,,,1.0,,,Not specified,,,,,,,,,,,,,,,,,,,(information not available),(information not available),,,,,,0.0,,,,,,,,,,,,,,,,,,No,,apartment,4730,hauset,Apartment
